id,name,league_id,logo,slug,sofifa_url,tactics_video_url,faces_video_url,founded_year,stadium,capacity,city,nickname,members
73,Real Sociedad,5,img/equipos/Real Sociedad.png,real-sociedad,https://sofifa.com/squad/2310183,,,1909,Reale Arena,40.000,San Sebastián,Txuri-urdin,Desconocido
94,Red Bull Bragantino,7,img/equipos/Red Bull Bragantino.png,red-bull-bragantino,https://sofifa.com/squad/2306911,,,1928,Estádio Nabi Abi Chedid,15.010,Bragança Paulista,Massa Bruta,Desconocido
1,River Plate,1,img/equipos/Club Atletico River Plate.png,river-plate,https://sofifa.com/squad/2211113,https://youtu.be/ZBX-seRUDIc?si=vbZ4qePfJtbLZHR4,https://youtu.be/wLT5QafPckc?si=VZUv0S4o1feYazeG,1901,Mâs Monumental,84.567,Buenos Aires,Millonario,351.487
56,Roma,4,img/equipos/AS Roma.png,roma,https://sofifa.com/squad/2233455,,,1927,Stadio Olimpico,70.634,Roma,I Giallorossi,Desconocido
16,Rosario Central,1,img/equipos/Club Atletico Rosario Central.png,rosario-central,https://sofifa.com/squad/2211259,,,1889,Gigante de Arroyito,41.654,Rosario,Canalla,96.297
104,San Antonio Bulo Bulo,10,img/equipos/San Antonio Bulo Bulo.png,san-antonio-bulo-bulo,https://sofifa.com/squad/2242020,,,1960,Estadio Carlos Villegas,17.000,Bulo Bulo,Desconocido,Desconocido
5,San Lorenzo,1,img/equipos/CA San Lorenzo de Almagro.png,san-lorenzo,https://sofifa.com/squad/2211217,None,None,1908,Pedro Bidegain,47.964,Buenos Aires,Ciclón,89.717
30,San Martín (SJ),1,img/equipos/Club Atlético San Martín.png,san-martin-sj,https://sofifa.com/squad/2217307,,,1907,Ingeniero Hilario Sánchez,25.250,San Juan,Verdinegro,15.000
95,Santos,7,img/equipos/Santos.png,santos,https://sofifa.com/squad/2305861,,,1912,Vila Belmiro,16.068,Santos,Peixe,Desconocido
17,Sarmiento,1,img/equipos/Sarmiento de Junin.png,sarmiento,https://sofifa.com/squad/2214179,,,1911,Eva Perón,22.000,Buenos Aires,Verde,10.000
74,Sevilla,5,img/equipos/Sevilla F.C..png,sevilla-fc,https://sofifa.com/squad/2310285,,,1890,Ramón Sánchez Pizjuán,43.833,Sevilla,Hispalenses,Desconocido
96,Sport Recife,7,img/equipos/Sport.png,sport,https://sofifa.com/squad/2258978,,,1905,Ilha do Retiro,32.983,Recife,Leão,Desconocido
117,Sporting Cristal,14,img/equipos/Sporting Cristal.png,sporting-cristal,,,,1955,Estadio Alberto Gallardo,18.000,Lima,Cerveceros,Desconocido
47,Sunderland,2,img/equipos/Sunderland.png,sunderland,https://sofifa.com/squad/2273115,,,1879,Stadium of Light,49.000,Sunderland,Black Cats,Desconocido
97,São Paulo,7,img/equipos/São Paulo.png,sao-paulo,https://sofifa.com/squad/2305858,,,1930,Morumbi,72.039,São Paulo,Tricolor Paulista,Desconocido
7,Talleres,1,img/equipos/Club Atlético Talleres.png,talleres,https://sofifa.com/squad/2211241,,,1913,Mario Alberto Kempes,57.000,Córdoba,Matador,74.262
25,Tigre,1,img/equipos/Club Atletico Tigre.png,tigre,https://sofifa.com/squad/2213585,,,1902,José Dellagiovanna,26.282,Buenos Aires,Matador,20.000
48,Tottenham Hotspur,2,img/equipos/Tottenham Hotspur.png,tottenham-hotspur,https://sofifa.com/squad/2226770,,,1882,Tottenham Hotspur Stadium,62.850,Londres,Spurs,Desconocido
101,U de Chile,8,img/equipos/UdeChile.png,u-de-chile,https://sofifa.com/squad/2237646,,,1927,Estadio Nacional Julio Martínez Prádanos,48.665,Santiago,La U,40.000
118,Universitario,14,img/equipos/Universitario.png,universitario,,,,1924,Estadio Monumental de la U,80.000,Lima,Cremas,Desconocido
18,Unión,1,img/equipos/Club Atletico Union Santa Fe.png,union,https://sofifa.com/squad/2214213,,,1907,15 de Abril,28.000,Santa Fe,Tatengue,26.000
75,Valencia,5,img/equipos/Valencia C.F..png,valencia-cf,https://sofifa.com/squad/2310335,,,1919,Mestalla,48.600,Valencia,Che,Desconocido
98,Vasco da Gama,7,img/equipos/Vasco da Gama.png,vasco-da-gama,https://sofifa.com/squad/2305848,,,1898,São Januário,21.860,Río de Janeiro,Gigante da Colina,Desconocido
76,Villarreal,5,img/equipos/Villarreal C.F..png,villarreal-cf,https://sofifa.com/squad/2310484,,,1923,Estadio de la Cerámica,23.500,Villarreal,El Submarino Amarillo,Desconocido
99,Vitória,7,img/equipos/Vitória.png,vitoria,https://sofifa.com/squad/2305839,,,1899,Barradão,34.535,Salvador,Leão da Barra,Desconocido
8,Vélez Sarsfield,1,img/equipos/Velez Sarsfield.png,velez-sarsfield,https://sofifa.com/squad/2211254,,,1910,José Amalfitani,49.540,Buenos Aires,Fortín,72.889
49,West Ham United,2,img/equipos/West Ham United.png,west-ham-united,https://sofifa.com/squad/2281076,,,1895,London Stadium,62.500,Londres,Hammers,Desconocido
50,Wolverhampton Wanderers,2,img/equipos/Wolverhampton Wanderers.png,wolverhampton-wanderers,https://sofifa.com/squad/2282567,,,1877,Molineux Stadium,32.050,Wolverhampton,Wolves,Desconocido
